seq,event,receivedAtMs,gapMs
215,tick,214873.208,1000.675
216,tick,215873.827,1000.619
217,tick,216875.411,1001.584
218,tick,217875.848,1000.438
219,tick,218877.549,1001.700
220,tick,219877.004,999.455
221,tick,220877.686,1000.682
222,tick,221879.287,1001.601
223,tick,222880.059,1000.772
224,tick,223881.388,1001.329
225,tick,224881.571,1000.183
226,tick,225882.310,1000.739
227,tick,226882.872,1000.562
228,tick,227884.228,1001.356
229,tick,228885.567,1001.340
230,tick,229885.942,1000.374
231,tick,230886.059,1000.117
232,tick,231887.364,1001.305
233,tick,232887.530,1000.166
234,tick,233887.777,1000.247
235,tick,234889.782,1002.005
236,tick,235891.013,1001.231
237,tick,236892.504,1001.491
238,tick,237892.940,1000.436
239,tick,238894.636,1001.696
240,tick,239895.281,1000.645
241,tick,240896.291,1001.010
242,tick,241896.421,1000.130
243,tick,242898.308,1001.887
244,tick,243899.737,1001.429
245,tick,244901.325,1001.589
246,tick,245901.719,1000.393
247,tick,246903.307,1001.588
248,tick,247903.071,999.765
249,tick,248904.168,1001.097
250,tick,249904.983,1000.815
251,tick,250906.045,1001.062
252,tick,251906.537,1000.492
253,tick,252907.622,1001.085
254,tick,253908.348,1000.726
255,tick,254909.353,1001.005
256,tick,255908.980,999.627
257,tick,256910.278,1001.298
258,tick,257910.204,999.926
259,tick,258910.511,1000.307
260,tick,259912.096,1001.586
261,tick,260913.542,1001.445
262,tick,261913.520,999.979
263,tick,262913.858,1000.338
264,tick,263915.514,1001.656
265,tick,264915.750,1000.236
266,tick,265917.393,1001.643
267,tick,266917.623,1000.230
268,tick,267919.014,1001.391
269,tick,268919.670,1000.656
270,tick,269920.878,1001.208
271,tick,270922.506,1001.628
272,tick,271921.778,999.272
273,tick,272922.619,1000.842
274,tick,273923.035,1000.415
275,tick,274924.637,1001.603
276,tick,275926.237,1001.600
277,tick,276926.134,999.896
278,tick,277927.633,1001.499
279,tick,278929.173,1001.540
280,tick,279930.532,1001.359
281,tick,280930.830,1000.298
282,tick,281931.449,1000.619
283,tick,282933.332,1001.883
284,tick,283933.296,999.964
285,tick,284934.082,1000.786
286,tick,285934.843,1000.761
287,tick,286941.741,1006.897
288,tick,287937.397,995.656
289,tick,288937.628,1000.232
290,tick,289938.389,1000.761
291,tick,290938.857,1000.468
292,tick,291940.593,1001.736
293,tick,292942.012,1001.419
294,tick,293943.579,1001.566
295,tick,294944.988,1001.409
296,tick,295946.334,1001.346
297,tick,296947.123,1000.788
298,tick,297946.901,999.779
299,tick,298948.440,1001.539
300,tick,299949.964,1001.524
301,tick,300951.688,1001.725
302,tick,301952.419,1000.731
303,tick,302952.915,1000.496
304,tick,303954.501,1001.586
305,tick,304955.083,1000.582
306,tick,305954.967,999.884
307,tick,306956.575,1001.608
308,tick,307956.294,999.718
309,tick,308956.503,1000.209
310,tick,309958.265,1001.763
311,tick,310960.167,1001.902
312,tick,311960.870,1000.703
313,tick,312963.403,1002.532
314,tick,313964.906,1001.503
315,tick,314966.896,1001.990
316,tick,315968.804,1001.908
317,tick,316971.358,1002.554
318,tick,317972.679,1001.321
319,tick,318973.196,1000.517
320,tick,319974.819,1001.623
321,tick,320974.990,1000.171
